연번,종류,시도,시군구,읍면동,설치장소명,도로명주소,지번주소,경도,위도,설치일시
1,그늘막(고정형),서울특별시,종로구,청운효자동,청운효자동주민센터,서울특별시 종로구 자하문로 92   (궁정동),서울특별시 종로구 궁정동 12-1 ,126.9706098,37.5840822,2018-06-01
2,그늘막(고정형),서울특별시,종로구,사직동,사직동주민센터 앞 교통섬,서울특별시 종로구 사직로9길 5   (사직동),서울특별시 종로구 사직동 1-28 ,126.9689218,37.5761763,2018-06-01
3,그늘막(고정형),서울특별시,종로구,사직동,경복궁역 1번출구 교통섬,서울특별시 종로구 자하문로 1   (내자동),서울특별시 종로구 내자동 67-1 ,126.9722555,37.5763117,2018-06-01
4,그늘막(고정형),서울특별시,종로구,사직동,동화면세점 사거리 앞,서울특별시 종로구 세종대로 149   (세종로),서울특별시 종로구 세종로 211 ,126.9765228,37.5697154,2019-06-01
5,그늘막(고정형),서울특별시,종로구,사직동,서울지방경찰청 민원봉사실 앞,서울특별시 종로구 사직로8길 31   (내자동),서울특별시 종로구 내자동 201-11 ,126.9825871,37.5752747,2019-06-01
6,그늘막(스마트형),서울특별시,종로구,사직동,새문안교회 앞 횡단보도,서울특별시 종로구 새문안로 79   (신문로1가),서울특별시 종로구 신문로1가 42 ,126.9735507,37.5703511,2023-07-27
7,그늘막(스마트형),서울특별시,종로구,사직동,광화문 월대 옆,서울특별시 종로구 세종대로 147-2    (세종로),서울특별시 종로구 세종로 1-80 ,126.9771,37.5754,2024-09-25
8,그늘막(고정형),서울특별시,종로구,사직동,일민미술관 앞 교통섬,서울특별시 종로구 세종대로 152   (세종로),서울특별시 종로구 세종로 139-5 ,126.9773,37.5701,2024-09-25
9,그늘막(고정형),서울특별시,종로구,삼청동,안국빌딩 앞 교통섬,서울특별시 종로구 율곡로 33   (안국동),서울특별시 종로구 안국동 175-87 ,126.9834901,37.5759282,2018-06-01
10,그늘막(고정형),서울특별시,종로구,삼청동,동십자각 사거리 교통섬,서울특별시 종로구 율곡로 1   (사간동),서울특별시 종로구 사간동 126-3 ,126.9797379,37.576094,2018-06-01
11,그늘막(스마트형),서울특별시,종로구,삼청동,대한출판문화회관 앞,서울특별시 종로구 삼청로 6   (사간동),서울특별시 종로구 사간동 105-2 ,126.9797578,37.576445,2025-08-07
12,그늘막(고정형),서울특별시,종로구,부암동,상명대 입구 교차로 분수대 방면 교통섬,서울특별시 종로구 세검정로 220   (홍지동),서울특별시 종로구 홍지동 122-23 ,126.9578381,37.5994281,2018-06-01
13,그늘막(스마트형),서울특별시,종로구,부암동,세검정파출소 앞 교통섬,서울특별시 종로구 세검정로 226   (홍지동),서울특별시 종로구 홍지동 95-1 ,126.958445,37.5999989,2023-07-27
14,그늘막(고정형),서울특별시,종로구,부암동,세검정 교차로 상명대입구 삼거리,서울특별시 종로구 홍지문길 2   (홍지동),서울특별시 종로구 홍지동 72-2 ,126.9576084,37.5998448,2019-06-01
15,그늘막(고정형),서울특별시,종로구,부암동,세검정삼거리, ,서울특별시 종로구 홍지동 99-7 ,126.957922,37.6001328,2025-07-31
16,그늘막(고정형),서울특별시,종로구,평창동,세검정새마을금고본점 앞,서울특별시 종로구 평창11길 6   (평창동),서울특별시 종로구 평창동 182-22 ,126.9669432,37.6061613,2018-06-01
17,그늘막(스마트형),서울특별시,종로구,평창동,서울시리미술아카이브 앞,서울특별시 종로구 평창문화로 101   (평창동),서울특별시 종로구 평창동 148-16 ,126.972084,37.6076999,2023-10-11
18,그늘막(고정형),서울특별시,종로구,평창동,글로리아타운 앞, ,서울특별시 종로구 평창동 157-4 ,126.969552,37.6066013,2025-07-31
19,그늘막(고정형),서울특별시,종로구,무악동,독립문역 2번 출구 앞,서울특별시 종로구 통일로 250   (무악동),서울특별시 종로구 무악동 42-2 ,126.9579153,37.5747199,2018-06-01
20,그늘막(고정형),서울특별시,종로구,교남동,독립문사거리 행촌동 방면 교통섬,서울특별시 종로구 통일로 220   (교북동),서울특별시 종로구 교북동 1-12 ,126.9600504,37.5726889,2018-06-01
21,그늘막(고정형),서울특별시,종로구,교남동,서대문역 3번 출구 앞,서울특별시 종로구 새문안로 9   (평동),서울특별시 종로구 평동 226-1 ,126.9663412,37.5669953,2019-06-01
22,그늘막(고정형),서울특별시,종로구,교남동,경희궁자이아파트 401동 앞,"서울특별시 종로구 송월길 99   (홍파동, 경희궁자이 2단지)",서울특별시 종로구 홍파동 199 ,126.9616149,37.5711949,2019-06-01
23,그늘막(고정형),서울특별시,종로구,교남동,경희궁자이아파트 203동 앞,"서울특별시 종로구 송월길 99   (홍파동, 경희궁자이 2단지)",서울특별시 종로구 홍파동 199 ,126.9628752,37.5700818,2019-06-01
24,그늘막(고정형),서울특별시,종로구,교남동,독립문역 사거리 교통섬, ,서울특별시 종로구 교북동 35-8 ,126.9607329,37.5720552,2025-07-31
25,그늘막(고정형),서울특별시,종로구,가회동,재동초교 삼거리 재동맥주 앞,서울특별시 종로구 북촌로4길 4   (재동),서울특별시 종로구 재동 45-2 ,126.9853485,37.5790045,2019-06-01
26,그늘막(고정형),서울특별시,종로구,종로1.2.3.4가동,원남동로터리 교통섬,서울특별시 종로구 창경궁로 158   (원남동),서울특별시 종로구 원남동 118-1 ,126.9976053,37.5763812,2023-06-15
27,그늘막(스마트형),서울특별시,종로구,종로1.2.3.4가동,동덕빌딩 앞 횡단보도,서울특별시 종로구 율곡로 33   (안국동),서울특별시 종로구 안국동 175-87 ,126.9832972,37.5758628,2023-07-27
28,그늘막(스마트형),서울특별시,종로구,종로1.2.3.4가동,북인사관광안내소앞,서울특별시 종로구 인사동길 62   (관훈동),서울특별시 종로구 관훈동 130-3 ,126.9835103,37.5754842,2023-09-25
29,그늘막(스마트형),서울특별시,종로구,종로1.2.3.4가동,종로플레이스 앞,서울특별시 종로구 창경궁로 120   (인의동),서울특별시 종로구 인의동 28-2 ,126.9978,37.5736,2024-05-28
30,그늘막(스마트형),서울특별시,종로구,종로1.2.3.4가동,종로3가역 10번 출구 주변,서울특별시 종로구 돈화문로 24   (종로3가),서울특별시 종로구 종로3가 26-4 ,126.9923,37.5707,2024-07-12
31,그늘막(고정형),서울특별시,종로구,종로1.2.3.4가동,안국동 사거리 서브웨이 앞 교통섬,서울특별시 종로구 우정국로 69   (수송동),서울특별시 종로구 수송동 5 ,126.9825871,37.5752747,2020-06-01
32,그늘막(고정형),서울특별시,종로구,종로1.2.3.4가동,그랑서울 앞,서울특별시 종로구 종로 33   (청진동),서울특별시 종로구 종로1가 43 ,126.981168,37.5703995,2020-08-01
33,그늘막(고정형),서울특별시,종로구,종로1.2.3.4가동,서울우리소리박물관 앞 교통섬,서울특별시 종로구 율곡로 96   (와룡동),서울특별시 종로구 와룡동 5-10 ,126.99,37.5773,2024-09-25
34,그늘막(고정형),서울특별시,종로구,종로1.2.3.4가동,삼일빌딩 앞 ,서울특별시 종로구 청계천로 85   (관철동),서울특별시 종로구 관철동 10-2 ,126.9874,37.568375,2024-09-25
35,그늘막(고정형),서울특별시,종로구,종로1.2.3.4가동,파고다원종로센터 앞,서울특별시 종로구 청계천로 93   (관철동),서울특별시 종로구 관철동 40-1 ,126.9879,37.5684,2024-09-25
36,그늘막(스마트형),서울특별시,종로구,종로1.2.3.4가동,세운광장앞,서울특별시 종로구 종로 지하129   (종로3가),서울특별시 종로구 종로3가 45-4 ,126.993826,37.5706117,2025-08-07
37,그늘막(스마트형),서울특별시,종로구,종로1.2.3.4가동,영풍문고 앞, ,서울특별시 종로구 서린동 1-9 ,126.9825634,37.5691193,2025-08-07
38,그늘막(스마트형),서울특별시,종로구,종로1.2.3.4가동,종묘광장 앞,서울특별시 종로구 종로 160-3    (종로4가),서울특별시 종로구 종로4가 32-8 ,126.9951913,37.5707435,2025-07-31
39,그늘막(고정형),서울특별시,종로구,종로1.2.3.4가동,투썸플레이스 앞, ,서울특별시 종로구 서린동 148 ,126.9791812,37.5692086,2025-07-31
40,그늘막(고정형),서울특별시,종로구,종로1.2.3.4가동,종로플레이스 맞은편, ,서울특별시 종로구 인의동 101-8 ,126.9976172,37.5727239,2025-07-31
41,그늘막(고정형),서울특별시,종로구,종로1.2.3.4가동,탑골공원 남서측 횡단보도,서울특별시 종로구 종로 99   (종로2가),서울특별시 종로구 종로2가 38-1 ,126.9879129,37.5705265,2018-06-01
42,그늘막(고정형),서울특별시,종로구,종로1.2.3.4가동,종각역 사거리 SC제일은행 방면 교통섬,서울특별시 종로구 종로 47   (공평동),서울특별시 종로구 공평동 100 ,126.9826464,37.5705983,2018-06-01
